trace_id,cap,thpt,util%,d95,davg
102-192-10-20-170,102.27,93.59333333333332,91.5,16.0,4.0
108-192-10-20-180,108.29,95.83999999999999,88.5,15.333333333333334,4.0
114-192-10-20-190,114.3,100.71999999999998,88.10000000000001,15.333333333333334,3.3333333333333335
12-192-10-20-20,12.03,11.246666666666668,93.5,15.0,5.666666666666667
120-192-10-20-200,120.32,108.17,89.86666666666667,14.333333333333334,3.6666666666666665
126-192-10-20-210,126.33999999999999,112.38666666666667,88.96666666666665,15.666666666666666,4.333333333333333
132-192-10-20-220,132.35,115.51666666666667,87.26666666666667,15.0,4.0
138-192-10-20-230,138.37,119.69333333333333,86.5,13.666666666666666,4.0
144-192-10-20-240,144.38,131.49333333333334,91.10000000000001,13.666666666666666,4.0
150-192-10-20-250,150.4,131.58,87.5,14.333333333333334,4.0
156-192-10-20-260,156.42,138.98,88.86666666666667,14.666666666666666,4.333333333333333
162-192-10-20-270,162.43,142.89333333333335,87.96666666666665,14.0,4.0
168-192-10-20-280,168.45,152.54333333333332,90.53333333333335,14.666666666666666,4.333333333333333
174-192-10-20-290,174.46,146.27,83.86666666666667,13.666666666666666,4.333333333333333
18-192-10-20-30,18.05,16.956666666666663,93.93333333333334,15.666666666666666,5.333333333333333
180-192-10-20-300,180.48,155.37666666666667,86.10000000000001,14.0,3.6666666666666665
186-192-10-20-310,186.5,171.57000000000002,92.0,14.333333333333334,4.333333333333333
192-192-10-20-320,192.51,173.28,90.03333333333335,13.666666666666666,4.0
24-192-10-20-40,24.06,23.096666666666664,95.93333333333334,16.333333333333332,5.666666666666667
30-192-10-20-50,30.08,28.673333333333336,95.33333333333333,15.666666666666666,5.666666666666667
36-192-10-20-60,36.1,33.86333333333334,93.8,15.0,5.0
42-192-10-20-70,42.11,38.71666666666667,91.96666666666665,15.666666666666666,4.333333333333333
48-192-10-20-80,48.13,44.49,92.46666666666665,15.666666666666666,4.333333333333333
54-192-10-20-90,54.14000000000001,50.449999999999996,93.16666666666667,14.666666666666666,4.666666666666667
6-192-10-20-10,6.02,5.463333333333334,90.83333333333333,12.666666666666666,5.0
60-192-10-20-100,60.16,56.79666666666666,94.39999999999999,14.666666666666666,4.666666666666667
66-192-10-20-110,66.18,60.99666666666667,92.16666666666667,14.333333333333334,4.0
72-192-10-20-120,72.19,65.61333333333333,90.93333333333334,15.333333333333334,4.333333333333333
78-192-10-20-130,78.21,74.19,94.83333333333333,16.666666666666668,5.0
84-192-10-20-140,84.22,77.77333333333333,92.33333333333333,14.0,4.0
90-192-10-20-150,90.24,81.54666666666667,90.36666666666667,15.333333333333334,4.0
96-192-10-20-160,96.26,88.52666666666666,91.96666666666668,14.333333333333334,4.666666666666667
